vehicle_id,global_time,local_x,local_y,v_vel,v_acc,v_length,v_width,lane_id,preceding,space_headway,time_headway,location
9,1118847854800,4.801,123.182,5.07,-1.88,13.0,5.9,1,5,26.0,5.13,us-101
9,1118847854900,4.798,123.662,4.98,0.45,13.0,5.9,1,5,25.52,5.12,us-101
9,1118847855000,4.795,124.162,5.01,0.42,13.0,5.9,1,5,25.02,4.99,us-101
9,1118847855100,4.793,124.679,4.93,-1.62,13.0,5.9,1,5,24.5,4.97,us-101
9,1118847855200,4.791,125.18,4.63,-4.31,13.0,5.9,1,5,24.0,5.18,us-101
9,1118847855300,4.801,125.632,4.17,-5.6,13.0,5.9,1,5,23.55,5.65,us-101
9,1118847855400,4.786,126.013,3.71,-4.07,13.0,5.9,1,5,23.17,6.24,us-101
9,1118847855500,4.784,126.346,3.43,-1.46,13.0,5.9,1,5,22.83,6.66,us-101
9,1118847855600,4.783,126.679,3.25,-1.36,13.0,5.9,1,5,22.5,6.92,us-101
9,1118847855700,4.781,127.014,2.96,-4.01,13.0,5.9,1,5,22.16,7.49,us-101
9,1118847855800,4.795,127.31,2.42,-7.03,13.0,5.9,1,5,21.87,9.04,us-101
9,1118847855900,4.792,127.527,1.69,-8.14,13.0,5.9,1,5,21.65,12.81,us-101
9,1118847856000,4.79,127.646,0.97,-6.65,13.0,5.9,1,5,21.53,22.2,us-101
9,1118847856100,4.777,127.692,0.44,-4.06,13.0,5.9,1,5,21.49,48.83,us-101
9,1118847856200,4.777,127.699,0.14,-1.73,13.0,5.9,1,5,21.48,153.42,us-101
9,1118847856300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847856900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847857900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847858900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847859900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847860900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847861900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847862900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847863900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847864900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865000,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865100,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865200,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865300,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865400,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865500,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865600,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865700,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865800,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
9,1118847865900,4.777,127.699,0.0,0.0,13.0,5.9,1,5,21.48,9999.99,us-101
